intercept,intercept_sigma,dom_eff,dom_eff_sigma,hole_ice_p0,hole_ice_p0_sigma,hole_ice_p1,hole_ice_p1_sigma,bulk_ice_abs,bulk_ice_abs_sigma,bulk_ice_scatter,bulk_ice_scatter_sigma,deltam31,pid,reco_coszen,reco_energy
1.002165,0.012384,0.579912,0.207455,-0.056607,0.062392,-0.039388,0.381481,1.077752,0.517854,-1.269952,0.520643,0.001500,0.65,0.045,9.9
1.223391,0.031014,-0.898656,0.520757,-0.041478,0.154126,-0.499575,0.968884,1.739836,1.278130,-4.194258,1.294524,0.001500,0.88,0.045,9.9
1.002498,0.006519,0.472935,0.106433,0.225499,0.031499,1.368856,0.200233,0.563242,0.269478,-1.009461,0.270538,0.001500,0.65,-0.945,13.3
0.977278,0.007151,-0.520900,0.117530,0.132724,0.034748,0.936869,0.221001,0.885765,0.302141,-0.726967,0.302888,0.001500,0.88,-0.945,13.3
1.039898,0.007188,0.506948,0.117691,0.253972,0.034325,1.081205,0.215703,1.040017,0.308656,-0.705818,0.309611,0.001500,0.65,-0.835,13.3
1.008519,0.009830,-1.042977,0.169257,0.173718,0.047158,0.779959,0.296922,1.179720,0.415611,-0.731348,0.416758,0.001500,0.88,-0.835,13.3
1.007774,0.007249,0.075242,0.120487,0.120035,0.035690,1.380838,0.222716,0.279263,0.303245,-0.553723,0.303780,0.001500,0.65,-0.725,13.3
1.064312,0.011774,-1.326464,0.202203,0.091087,0.057807,0.984948,0.359543,2.199075,0.510335,-1.132210,0.513103,0.001500,0.88,-0.725,13.3
0.969966,0.007521,0.294580,0.125217,0.076224,0.037241,0.820243,0.230166,1.195189,0.317159,-0.702187,0.318277,0.001500,0.65,-0.615,13.3
0.940718,0.011229,-1.051882,0.193927,-0.107047,0.057029,0.597428,0.356877,1.670215,0.472640,-0.725505,0.474708,0.001500,0.88,-0.615,13.3
0.995091,0.008223,0.049125,0.137107,0.031674,0.040947,0.508522,0.252426,1.414559,0.341326,-1.369529,0.343276,0.001500,0.65,-0.505,13.3
0.981075,0.012657,-1.537739,0.215587,-0.157331,0.064085,-0.389698,0.406150,1.341708,0.518326,-0.976243,0.521644,0.001500,0.88,-0.505,13.3
0.989672,0.008663,0.169595,0.148153,-0.195850,0.044730,-0.103081,0.270554,0.676431,0.369787,-0.245698,0.370503,0.001500,0.65,-0.395,13.3
1.061705,0.014781,-1.087346,0.260496,-0.196326,0.075723,-0.014778,0.460237,1.929985,0.607037,-2.205045,0.611809,0.001500,0.88,-0.395,13.3
1.032844,0.009387,0.026549,0.160690,-0.095889,0.047208,-0.464736,0.295661,0.365750,0.394955,-0.988449,0.396168,0.001500,0.65,-0.285,13.3
1.005331,0.015195,-0.664548,0.255452,-0.184741,0.077709,-0.080037,0.471458,0.525298,0.652023,-1.059150,0.654564,0.001500,0.88,-0.285,13.3
1.007046,0.009372,0.230266,0.160047,-0.139061,0.047386,-0.103168,0.297922,1.440696,0.394743,-0.889877,0.396422,0.001500,0.65,-0.175,13.3
0.958735,0.015391,-0.807000,0.272205,-0.238376,0.078615,0.510894,0.490843,2.129647,0.644501,-1.105764,0.648201,0.001500,0.88,-0.175,13.3
1.010313,0.009548,-0.198586,0.162580,-0.061170,0.047541,-0.529476,0.298510,0.307140,0.402597,-1.385233,0.404164,0.001500,0.65,-0.065,13.3
1.046666,0.017205,-0.286559,0.291961,-0.018357,0.086823,-0.334685,0.535768,1.521343,0.718361,-1.216520,0.722145,0.001500,0.88,-0.065,13.3
1.023374,0.009820,0.493221,0.167996,-0.166746,0.050225,-0.243242,0.309451,1.099084,0.407306,-0.602793,0.408684,0.001500,0.65,0.045,13.3
1.008647,0.016949,-0.752723,0.293995,-0.291516,0.088340,-0.240805,0.537585,1.034687,0.714165,-1.752986,0.718636,0.001500,0.88,0.045,13.3
0.950301,0.006249,0.237221,0.102632,0.194702,0.030018,1.135490,0.190240,0.634189,0.266406,-0.477079,0.267006,0.001500,0.65,-0.945,17.8
0.983309,0.005815,-0.913543,0.096097,0.167136,0.027885,0.892814,0.176953,0.856643,0.244913,-1.435376,0.246390,0.001500,0.88,-0.945,17.8
0.920848,0.006254,0.205783,0.100716,0.235940,0.029683,1.401844,0.189859,0.561514,0.262243,-0.716116,0.262918,0.001500,0.65,-0.835,17.8
