intercept,intercept_sigma,dom_eff,dom_eff_sigma,hole_ice_p0,hole_ice_p0_sigma,hole_ice_p1,hole_ice_p1_sigma,bulk_ice_abs,bulk_ice_abs_sigma,bulk_ice_scatter,bulk_ice_scatter_sigma,deltam31,pid,reco_coszen,reco_energy
1.085117,0.022395,0.879304,0.357263,-0.155281,0.107860,-1.762158,0.681443,0.741243,0.990562,0.121561,0.992194,0.001500,0.65,0.045,9.9
0.634508,0.038434,0.356919,0.670104,-0.490478,0.219197,0.263159,1.148228,1.238675,1.740423,0.461552,1.743366,0.001500,0.88,0.045,9.9
0.982736,0.010653,0.946328,0.159567,0.462845,0.047474,2.128731,0.308014,-0.644385,0.446165,-0.591578,0.445531,0.001500,0.65,-0.945,13.3
0.964807,0.024789,1.618575,0.380337,0.495285,0.113122,1.841046,0.722097,0.131934,1.015983,-0.729727,1.013441,0.001500,0.88,-0.945,13.3
0.946479,0.010112,0.962796,0.154372,0.343104,0.046074,1.612027,0.295672,-1.011406,0.426093,-0.731716,0.426090,0.001500,0.65,-0.835,13.3
1.046946,0.030893,1.099440,0.473103,0.268036,0.144347,3.455444,0.927194,-1.708799,1.244275,1.903551,1.235777,0.001500,0.88,-0.835,13.3
0.969035,0.011123,1.197391,0.173718,0.181568,0.051694,1.295291,0.333118,-0.005090,0.470748,-1.270013,0.473055,0.001500,0.65,-0.725,13.3
1.185516,0.041586,1.803459,0.634498,0.037507,0.198814,2.437579,1.291748,-2.354770,1.586234,-0.524498,1.577695,0.001500,0.88,-0.725,13.3
0.933223,0.012126,0.725527,0.195236,-0.009721,0.058181,1.275132,0.359235,-0.015639,0.518879,-1.107099,0.521545,0.001500,0.65,-0.615,13.3
1.091948,0.042498,1.204257,0.664393,-0.005452,0.203834,1.921946,1.327709,0.933953,1.711381,-1.818096,1.723401,0.001500,0.88,-0.615,13.3
0.997444,0.013825,1.378102,0.223387,-0.145817,0.068095,0.261391,0.423295,0.673590,0.594244,-0.457521,0.595694,0.001500,0.65,-0.505,13.3
1.044058,0.040872,0.848836,0.677863,0.075826,0.192708,0.956694,1.202637,-0.754427,1.522566,-1.454814,1.529364,0.001500,0.88,-0.505,13.3
0.988330,0.013695,1.119863,0.219134,-0.067804,0.066340,0.659260,0.417668,0.192791,0.588092,-0.944224,0.590531,0.001500,0.65,-0.395,13.3
0.888029,0.034266,1.364591,0.576551,-0.248023,0.167818,1.197036,1.046067,0.125126,1.361326,-3.157691,1.381460,0.001500,0.88,-0.395,13.3
0.913372,0.012943,1.455218,0.209894,-0.116333,0.063443,0.048442,0.398185,0.225364,0.543239,-0.986780,0.545434,0.001500,0.65,-0.285,13.3
1.165928,0.046080,0.617974,0.737183,-0.272889,0.228336,0.298768,1.428618,-3.389879,1.844170,1.985684,1.824126,0.001500,0.88,-0.285,13.3
1.067459,0.015998,1.207336,0.250885,-0.091872,0.078704,0.057755,0.497390,0.156825,0.661349,-1.799970,0.666314,0.001500,0.65,-0.175,13.3
1.071365,0.041973,0.961988,0.741906,-0.584290,0.214586,-0.248394,1.273927,-0.256947,1.752291,0.524032,1.758518,0.001500,0.88,-0.175,13.3
0.963370,0.015206,0.936101,0.243717,-0.067533,0.071212,-0.618496,0.476671,0.970103,0.660002,1.096004,0.660548,0.001500,0.65,-0.065,13.3
1.107488,0.046644,1.155284,0.730621,0.170966,0.220311,1.211787,1.366074,2.133416,1.875286,1.229537,1.877450,0.001500,0.88,-0.065,13.3
0.934425,0.015764,0.944112,0.249807,-0.044531,0.075620,0.270011,0.479558,0.712502,0.671738,-1.222238,0.675577,0.001500,0.65,0.045,13.3
1.102594,0.050963,1.082111,0.812551,-0.346918,0.251700,-1.224592,1.555089,0.344254,2.135130,-0.303089,2.134156,0.001500,0.88,0.045,13.3
1.023358,0.012559,1.044943,0.188573,0.481948,0.055916,2.007922,0.363639,-0.531830,0.533026,-0.764533,0.532721,0.001500,0.65,-0.945,17.8
0.996878,0.029088,1.390583,0.459643,0.511037,0.130146,3.052561,0.853855,-0.012879,1.228446,0.113452,1.230465,0.001500,0.88,-0.945,17.8
0.975228,0.011184,0.844503,0.175580,0.278136,0.051751,1.731335,0.332520,0.152788,0.484606,-0.636436,0.485202,0.001500,0.65,-0.835,17.8
