real    0m10,293s
user    0m10,410s
sys     0m0,492s

Mon Mar 13 07:34:44 2023    output.dat

         289976 function calls (284001 primitive calls) in 9.794 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    8.180    0.511 /usr/lib/python3/dist-packages/scipy/optimize/_differentiable_functions.py:132(fun_wrapped)
    52/47    0.000    0.000    0.034    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
       71    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(sum)
    23/10    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3547(parseImpl)
        1    0.000    0.000    0.268    0.268 /home/pablofer/Pheno/Fitter/Pynu/pynu/Experiments/MCReader.py:51(reader)
       18    0.000    0.000    7.662    0.426 /usr/lib/python3/dist-packages/scipy/optimize/_differentiable_functions.py:282(fun_and_grad)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:5399(pyparsing_common)
      104    0.000    0.000    0.001    0.000 /usr/lib/python3.10/traceback.py:301(line)
       26    0.000    0.000    0.002    0.000 /usr/lib/python3.10/traceback.py:216(extract_stack)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/markers.py:1(<module>)
        1    0.000    0.000    0.028    0.028 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/requirements.py:1(<module>)
    20/19    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/series.py:323(__init__)
     22/3    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3397(parseImpl)
      108    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1254(__iter__)
       78    0.000    0.000    0.001    0.000 /usr/lib/python3.10/linecache.py:26(getline)
       30    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1910(get_metadata_lines)
       17    0.000    0.000    0.360    0.021 /home/pablofer/Pheno/Fitter/Pynu/pynu/Experiments/Experiment.py:142(SetExpectedBinned)
       25    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1250(setParseAction)
       47    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.000    0.000    9.794    9.794 /home/pablofer/Pheno/Fitter/Pynu/pynu/better_main.py:9(main)
       26    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1047(extract_stack)
       92    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
    21/14    0.000    0.000    0.047    0.003 {built-in method builtins.__import__}
        8    0.000    0.000    0.001    0.000 /usr/lib/python3.10/argparse.py:1404(add_argument)
       54    0.000    0.000    0.026    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/PhysicsTunes.py:48(GetXSection)
       17    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/frame.py:3411(_ixs)
       25    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:565(_find_module_shim)
       48    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1948(__or__)
        1    0.000    0.000    0.519    0.519 /usr/lib/python3/dist-packages/scipy/optimize/_differentiable_functions.py:86(__init__)
    54/10    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3762(streamline)
       53    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.086    0.086 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:3266(_initialize_master_working_set)
       89    0.000    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:97(closegroup)
       17    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/frame.py:3923(_get_item_cache)
       61    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3292(<listcomp>)
    36/11    0.000    0.000    0.003    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3743(leaveWhitespace)
    63/10    0.000    0.000    0.157    0.016 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.007    0.007 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:2008(_form_blocks)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:1(<module>)
       88    0.000    0.000    0.027    0.000 /usr/lib/python3.10/re.py:249(compile)
        1    0.000    0.000    8.703    8.703 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:279(FitBinnedLLH)
       78    0.000    0.000    0.001    0.000 /usr/lib/python3.10/linecache.py:36(getlines)
       17    0.000    0.000    0.001    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:132(ApplyPhysicsWeights)
       12    0.000    0.000    0.003    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4251(__init__)
        3    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/indexes/base.py:672(_with_infer)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/tags.py:1(<module>)
       24    0.000    0.000    0.001    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/Oscillations/Oscillations.py:45(UpdateParameter)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4875(_makeTags)
        1    0.000    0.000    0.011    0.011 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/specifiers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.10/plistlib.py:1(<module>)
        1    0.000    0.000    8.181    8.181 /usr/lib/python3/dist-packages/scipy/optimize/_minimize.py:45(minimize)
       28    0.000    0.000    0.027    0.001 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2011(_by_version_descending)
       13    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2341(normalize_path)
        1    0.000    0.000    0.264    0.264 /home/pablofer/.local/lib/python3.10/site-packages/pandas/io/parsers/readers.py:1244(read)
       17    0.000    0.000    0.033    0.002 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:139(ApplyNuisanceWeights)
       14    0.000    0.000    0.001    0.000 /usr/lib/python3.10/posixpath.py:391(realpath)
        1    0.000    0.000    0.001    0.001 /home/pablofer/Pheno/Fitter/Pynu/pynu/AnalysisReader/xmlReader.py:10(__init__)
        1    0.000    0.000    0.023    0.023 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/internals/construction.py:425(dict_to_mgr)
       16    0.000    0.000    8.180    0.511 /usr/lib/python3/dist-packages/scipy/optimize/_optimize.py:74(__call__)
    34/25    0.000    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:401(__getitem__)
    24/10    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3737(parseImpl)
       19    0.000    0.000    8.180    0.431 /usr/lib/python3/dist-packages/scipy/optimize/_differentiable_functions.py:249(_update_fun)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.10/email/utils.py:1(<module>)
        1    0.000    0.000    0.267    0.267 /home/pablofer/.local/lib/python3.10/site-packages/pandas/io/parsers/readers.py:584(read_csv)
        1    0.000    0.000    0.268    0.268 /home/pablofer/Pheno/Fitter/Pynu/pynu/Experiments/Experiment.py:48(Reader)
       16    0.000    0.000    8.180    0.511 /usr/lib/python3/dist-packages/scipy/optimize/_differentiable_functions.py:154(update_fun)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2268(declare_namespace)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.10/email/header.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /home/pablofer/.local/lib/python3.10/site-packages/pandas/io/parsers/readers.py:1192(_make_engine)
       28    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2116(safe_listdir)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.10/argparse.py:1706(__init__)
        1    0.000    0.000    0.023    0.023 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/frame.py:587(__init__)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.10/email/feedparser.py:1(<module>)
        7    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/indexes/base.py:6987(ensure_index)
        8    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1133(resource_filename)
        4    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/h5py/_hl/files.py:541(__exit__)
        1    0.000    0.000    0.002    0.002 /home/pablofer/.local/lib/python3.10/site-packages/pandas/io/parsers/readers.py:886(__init__)
      4/3    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3859(parseImpl)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.10/email/_policybase.py:1(<module>)
        1    0.000    0.000    0.007    0.007 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/specifiers.py:317(Specifier)
        1    0.000    0.000    0.011    0.011 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/Oscillations/Oscillations.py:1(<module>)
        1    0.000    0.000    0.038    0.038 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:559(_build_master)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.10/email/parser.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/specifiers.py:245(LegacySpecifier)
        3    0.000    0.000    0.017    0.006 /usr/lib/python3/dist-packages/pkg_resources/extern/__init__.py:29(load_module)
        1    0.000    0.000    0.005    0.005 /home/pablofer/.local/lib/python3.10/site-packages/nuflux/__init__.py:1(<module>)
        1    0.000    0.000    0.011    0.011 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/Oscillations/AtmOsc.py:1(<module>)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4763(srange)
        1    0.000    0.000    0.038    0.038 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:546(__init__)
        1    0.000    0.000    0.014    0.014 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:2074(_consolidate)
        1    0.000    0.000    1.083    1.083 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:16(__init__)
        1    0.000    0.000    0.464    0.464 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:40(ComputeBinnedObservation)
        1    0.000    0.000    0.320    0.320 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/PhysicsTunes.py:86(SetOscillation)
        3    0.000    0.000    0.002    0.001 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1608(parseString)
        1    0.000    0.000    0.025    0.025 /home/pablofer/Pheno/Fitter/Pynu/pynu/Experiments/Experiment.py:146(SetObservedBinned)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.10/linecache.py:80(updatecache)
        1    0.000    0.000    0.025    0.025 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:92(SetBinnedObservedEvents)
        1    0.000    0.000    0.321    0.321 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:78(SetUpPhysicsTunes)
        1    0.000    0.000    0.298    0.298 /home/pablofer/Pheno/Fitter/Pynu/pynu/Experiments/MCReader.py:10(Manager)
        1    0.000    0.000    0.006    0.006 /home/pablofer/Pheno/Fitter/Pynu/pynu/Experiments/ICUp_Atm.py:1(<module>)
        1    0.000    0.000    0.321    0.321 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/PhysicsTunes.py:9(__init__)
        2    0.000    0.000    0.016    0.008 <frozen importlib._bootstrap_external>:1174(create_module)
        1    0.000    0.000    0.021    0.021 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:1937(create_block_manager_from_column_arrays)
        1    0.000    0.000    0.014    0.014 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/internals/managers.py:1683(_consolidate_inplace)
        1    0.000    0.000    0.268    0.268 /home/pablofer/Pheno/Fitter/Pynu/pynu/Experiments/Experiment.py:9(__init__)
        1    0.000    0.000    0.292    0.292 /home/pablofer/Pheno/Fitter/Pynu/pynu/Experiments/ICUp_Atm.py:11(__init__)
        2    0.000    0.000    0.007    0.004 /usr/lib/python3/dist-packages/numpy/core/shape_base.py:222(vstack)
        1    0.000    0.000    0.298    0.298 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:65(SetUpExperiments)
        1    0.000    0.000    0.001    0.001 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/PhysicsTunes.py:79(SetDetector)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3/dist-packages/numpy/lib/arraysetops.py:138(unique)
        1    0.000    0.000    0.267    0.267 /home/pablofer/.local/lib/python3.10/site-packages/pandas/util/_decorators.py:302(wrapper)
        1    0.000    0.000    0.519    0.519 /usr/lib/python3/dist-packages/scipy/optimize/_optimize.py:175(_prepare_scalar_function)
        1    0.000    0.000    0.003    0.003 <__array_function__ internals>:2(unique)
        1    0.000    0.000    0.025    0.025 /home/pablofer/Pheno/Fitter/Pynu/pynu/Experiments/Experiment.py:139(BinNominalWeights)
        1    0.000    0.000    9.794    9.794 <string>:1(<module>)
        3    0.000    0.000    0.017    0.006 /usr/lib/python3/dist-packages/pkg_resources/extern/__init__.py:51(create_module)
        2    0.000    0.000    0.007    0.004 <__array_function__ internals>:2(vstack)
        1    0.000    0.000    0.011    0.011 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:117(ApplyFixedWeights)
        2    0.000    0.000    0.086    0.043 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:3240(_call_aside)
        1    0.000    0.000    0.002    0.002 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:122(ApplyNominalWeights)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:4904(makeHTMLTags)


