real    0m10,293s
user    0m10,410s
sys     0m0,492s

Mon Mar 13 07:34:44 2023    output.dat

         289976 function calls (284001 primitive calls) in 9.794 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      981    0.001    0.000    0.019    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2778(_get_metadata)
      300    0.001    0.000    0.009    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2066(<genexpr>)
       16    0.001    0.000    0.003    0.000 /home/pablofer/.local/lib/python3.10/site-packages/h5py/_hl/dataset.py:40(make_new_dset)
      272    0.001    0.000    0.033    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2591(from_location)
      472    0.001    0.000    0.003    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:293(__str__)
  700/162    0.001    0.000    0.002    0.000 /usr/lib/python3.10/sre_parse.py:175(getwidth)
     7664    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
10819/10082    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      544    0.001    0.000    0.040    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2132(distributions_from_metadata)
     4992    0.001    0.000    0.002    0.000 /usr/lib/python3.10/posixpath.py:41(_get_sep)
        1    0.001    0.001    0.266    0.266 /home/pablofer/.local/lib/python3.10/site-packages/pandas/io/parsers/readers.py:539(_read)
     4474    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:271(<genexpr>)
     4146    0.001    0.000    0.002    0.000 /usr/lib/python3.10/sre_parse.py:165(__getitem__)
     9683    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.001    0.001    0.001    0.001 /home/pablofer/.local/lib/python3.10/site-packages/pandas/io/parsers/c_parser_wrapper.py:45(__init__)
     1814    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1092    0.001    0.000    0.013    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2026(try_parse)
        1    0.001    0.001    0.002    0.002 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/Flux/AtmoFlux.py:60(FlavorRatio)
3045/3041    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
      490    0.001    0.000    0.003    0.000 /usr/lib/python3.10/ntpath.py:87(isabs)
     3322    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      472    0.001    0.000    0.003    0.000 /usr/lib/python3.10/copy.py:66(copy)
      161    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
      431    0.001    0.000    0.003    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
        1    0.001    0.001    0.003    0.003 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/Oscillations/Oscillations.py:182(NSQNeutrinoFlavor)
      490    0.001    0.000    0.001    0.000 /usr/lib/python3.10/ntpath.py:150(splitdrive)
        1    0.001    0.001    0.006    0.006 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:227(CreateOutFile)
     1814    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       31    0.001    0.000    0.027    0.001 {built-in method builtins.sorted}
    10285    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      410    0.001    0.000    0.001    0.000 /usr/lib/python3.10/posixpath.py:150(dirname)
     2672    0.001    0.000    0.005    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2058(<genexpr>)
     4230    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:81(__eq__)
      272    0.001    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:675(add)
      484    0.001    0.000    0.011    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1317(safe_version)
      828    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/lib/histograms.py:932(_histogramdd_dispatcher)
      138    0.001    0.000    0.947    0.007 /usr/lib/python3/dist-packages/numpy/lib/twodim_base.py:618(histogram2d)
      335    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1144(__init__)
        4    0.001    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/h5py/_hl/files.py:200(make_fid)
      262    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     4692    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:393(_parse_letter_version)
      544    0.001    0.000    0.001    0.000 /usr/lib/python3.10/genericpath.py:121(_splitext)
      374    0.001    0.000    0.028    0.000 /usr/lib/python3.10/re.py:288(_compile)
      490    0.001    0.000    0.004    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1483(_validate_resource_path)
   240/65    0.001    0.000    0.018    0.000 /usr/lib/python3.10/sre_parse.py:436(_parse_sub)
      490    0.001    0.000    0.006    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1477(_fn)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      788    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2650(key)
     6844    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
       24    0.001    0.000    0.001    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/Oscillations/Oscillations.py:53(ApplyParameters)
      471    0.001    0.000    0.001    0.000 /usr/lib/python3.10/copy.py:259(_reconstruct)
        4    0.001    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/h5py/_hl/files.py:516(close)
      300    0.001    0.000    0.071    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2046(find_on_path)
      829    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2825(__getattr__)
     2976    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     4563    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       45    0.001    0.000    0.001    0.000 {built-in method io.open_code}
       16    0.001    0.000    0.001    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/Fitter/ChiSquared.py:30(ChiSquaredGradient)
      544    0.001    0.000    0.002    0.000 /usr/lib/python3.10/posixpath.py:117(splitext)
      260    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
       37    0.001    0.000    0.046    0.001 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:153(ApplyWeights)
      414    0.000    0.000    0.789    0.002 /usr/lib/python3/dist-packages/numpy/lib/histograms.py:1074(<genexpr>)
       21    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/h5py/_hl/dataset.py:583(__init__)
      272    0.000    0.000    0.008    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2578(__init__)
      212    0.000    0.000    0.022    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2561(_version_from_file)
      141    0.000    0.000    0.022    0.000 /usr/lib/python3/dist-packages/numpy/core/shape_base.py:81(atleast_2d)
      170    0.000    0.000    0.008    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2199(_handle_ns)
        1    0.000    0.000    0.003    0.003 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/Oscillations/Oscillations.py:177(NSQNeutrinoType)
     2189    0.000    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:250(match)
       16    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/h5py/_hl/group.py:50(create_group)
        1    0.000    0.000    0.001    0.001 /home/pablofer/Pheno/Fitter/Pynu/pynu/PhysicsTunes/CrossSection/WaterXSection.py:46(NCHad)
      562    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ndim)
        3    0.000    0.000    0.003    0.001 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNu.py:270(WriteToOutFile)
      279    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2268(any)
     1116    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        5    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/h5py/_hl/group.py:296(__getitem__)
      519    0.000    0.000    0.001    0.000 /usr/lib/python3.10/posixpath.py:60(isabs)
      129    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2906(<listcomp>)
      272    0.000    0.000    0.015    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2035(_by_version)
      471    0.000    0.000    0.003    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:1167(copy)
      315    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/pandas/core/dtypes/common.py:1429(is_extension_array_dtype)
      138    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/numpy/lib/function_base.py:4762(append)
      754    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
  216/214    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       17    0.000    0.000    0.001    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/Fitter/ChiSquared.py:6(ChiSquaredStatsOnly)
      129    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2880(insert_on)
      272    0.000    0.000    0.014    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2041(<listcomp>)
