Fri Apr 28 15:17:36 2023    output.dat

         2729 function calls (2619 primitive calls) in 0.002 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       72    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:356(_escape)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:2180(_match_arguments_partial)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:2554(_get_formatter)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:2028(consume_positionals)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:225(__init__)
       19    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:1379(_registry_get)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:359(__call__)
       19    0.000    0.000    0.000    0.000 /usr/lib/python3.10/re.py:249(compile)
       28    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:250(match)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:1951(consume_optional)
     27/1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/abc.py:121(__subclasscheck__)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:678(__new__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/xml/etree/ElementTree.py:1212(parse)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_collections_abc.py:816(get)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:619(isstring)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:265(_compile_charset)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:928(fix_flags)
       25    0.000    0.000    0.000    0.000 /usr/lib/python3.10/posixpath.py:41(_get_sep)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:1579(_pop_action_class)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:1817(_add_action)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       29    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/types.py:176(__get__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:1455(add_argument_group)
        6    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:1592(_check_conflict)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:918(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/gettext.py:679(dgettext)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:76(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/collections/__init__.py:565(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:2158(_match_argument)
       43    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:587(_metavar_formatter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/posixpath.py:140(basename)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:596(format)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:2488(_get_value)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:82(groups)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:215(__init__)
        8    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 /home/pablofer/Pheno/Fitter/Pynu/pynu/PyNuFit.py:12(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:1583(_get_handler)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.10/os.py:758(decode)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/collections/__init__.py:713(__eq__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/collections/__init__.py:640(update)
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       12    0.000    0.000    0.000    0.000 {method 'findall' of 'xml.etree.ElementTree.Element' objects}
       14    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:85(opengroup)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:976(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:456(_generate_overlap_table)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:2299(_get_nargs_pattern)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/re.py:187(match)
        1    0.000    0.000    0.000    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/analysis_reader/ParseXML.py:89(readSOURCEs)
       18    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:433(_uniq)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:953(__init__)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:169(__setitem__)
        2    0.000    0.000    0.000    0.000 {built-in method _collections._count_elements}
       15    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:1098(__init__)
       25    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:2196(_parse_optional)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:516(_get_charset_prefix)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/collections/__init__.py:717(<genexpr>)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:81(_combine_flags)
        1    0.000    0.000    0.000    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/analysis_reader/ParseXML.py:97(readDetectors)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/abc.py:117(__instancecheck__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/gettext.py:756(gettext)
        1    0.000    0.000    0.000    0.000 /home/pablofer/Pheno/Fitter/Pynu/pynu/analysis_reader/ParseXML.py:105(readExperiments)
       15    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:477(_get_iscased)
        6    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:2057(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:1529(_get_positional_kwargs)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:801(value)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:2514(_check_value)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:947(__call__)
        7    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:97(closegroup)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.002    0.002 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:1837(parse_args)
        3    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       12    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:163(__delitem__)
        6    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:2186(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:1830(<listcomp>)
        6    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        4    0.000    0.000    0.000    0.000 {method 'iter' of 'xml.etree.ElementTree.Element' objects}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:625(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:1829(_get_positional_actions)
        6    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:2481(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/xml/etree/ElementTree.py:536(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:2190(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/argparse.py:1307(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method sys.exit}
        2    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/xml/etree/ElementTree.py:542(getroot)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/collections/__init__.py:579(__missing__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}


