Mon Apr  3 16:01:39 2023    output.dat

         348330 function calls (343552 primitive calls) in 3.735 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  660/396    0.002    0.000    0.003    0.000 /home/pablofer/.local/lib/python3.10/site-packages/boost_histogram/_internal/hist.py:70(_fill_cast)
      657    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      657    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      641    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2399(_nonblank)
      636    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2566(is_version_line)
      630    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      630    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      598    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      584    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
      584    0.001    0.000    0.002    0.000 /usr/lib/python3.10/genericpath.py:39(isdir)
      579    0.000    0.000    0.001    0.000 /home/pablofer/.local/lib/python3.10/site-packages/numpy/core/_internal.py:624(consume)
  571/124    0.001    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:175(getwidth)
      565    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:112(__init__)
      552    0.000    0.000    0.001    0.000 /usr/lib/python3.10/posixpath.py:60(isabs)
      548    0.001    0.000    0.014    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1317(safe_version)
      546    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      544    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:344(local)
      543    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      543    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      540    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:331(pre)
      536    0.002    0.000    0.004    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:293(__str__)
      536    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:321(epoch)
      536    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:326(release)
      536    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:336(post)
      536    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/version.py:340(dev)
  525/293    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      521    0.001    0.000    0.007    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1477(_fn)
      521    0.001    0.000    0.005    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1483(_validate_resource_path)
      521    0.000    0.000    0.000    0.000 /usr/lib/python3.10/ntpath.py:35(_get_bothseps)
      521    0.001    0.000    0.003    0.000 /usr/lib/python3.10/ntpath.py:87(isabs)
      521    0.001    0.000    0.001    0.000 /usr/lib/python3.10/ntpath.py:150(splitdrive)
      519    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      513    0.000    0.000    0.007    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:1398(_get_metadata_path)
      504    0.001    0.000    0.002    0.000 /usr/lib/python3.10/posixpath.py:150(dirname)
      503    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
